Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R00762	C00001[c] + C00354[c]  -> C00009[c] + C00085[c] 	IB49_09470	  0.00	1000.00	  0.00
R00765	C00001[c] + C00352[c]  <=> C00014[c] + C00085[c] 	IB49_03165	-1000.00	1000.00	  0.00
R00768	C00064[c] + C00085[c]  -> C00025[c] + C00080[c] + C00352[c] 	IB49_11120	  0.00	1000.00	  0.00
R00771	C00092[c]  <=> C00085[c] 	IB49_06610 or IB49_02190	-1000.00	1000.00	  0.00
R00774	C00002[c] + C00086[c] + C00288[c]  <=> C00008[c] + C00009[c] + C00080[c] + C01010[c] 	IB49_18360	-1000.00	1000.00	  0.00
R00776	C00603[c]  <=> C00048[c] + C00086[c] 	IB49_13750	-1000.00	1000.00	  0.00
R00782	C00001[c] + C00097[c]  -> C00014[c] + C00022[c] + C00080[c] + C00283[c] 	IB49_06650 or IB49_04570 or IB49_14660	  0.00	1000.00	  0.00
R00791	C00001[c] + C00088[c] + 2 C00139[c]  <=> 2 C00080[c] + 2 C00138[c] + C00244[c] 	IB49_01330	-1000.00	  0.00	  0.00
R00801	C00001[c] + C00089[c]  -> C00031[c] + C00095[c] 	IB49_13340 or IB49_09760	  0.00	1000.00	  0.00
R00829	C00024[c] + C00091[c]  <=> C00010[c] + C02232[c] 	IB49_01860 or IB49_07135 or IB49_00260 or IB49_05740	-1000.00	1000.00	  0.00
R00830	C00037[c] + C00080[c] + C00091[c]  <=> C00010[c] + C00011[c] + C00430[c] 	IB49_02360	-1000.00	1000.00	  0.00
R00833	C01213[c]  <=> C00091[c] 	IB49_03630 or IB49_03635	-1000.00	1000.00	  0.00
R00835	C00006[c] + C00092[c]  -> C00005[c] + C00080[c] + C01236[c] 	IB49_03475 or IB49_02200	  0.00	1000.00	  0.00
R00837	C00001[c] + C00689[c]  <=> C00031[c] + C00092[c] 	IB49_13340 or IB49_00695	-1000.00	1000.00	  0.00
R00839	C00001[c] + C04534[c]  -> C00031[c] + C00092[c] 	IB49_14730 or IB49_08530	  0.00	1000.00	  0.00
R00841	C00001[c] + C00093[c]  -> C00009[c] + C00116[c] 	IB49_06945	  0.00	1000.00	  0.00
R00844	C00006[c] + C00093[c]  <=> C00005[c] + C00080[c] + C00111[c] 	IB49_02870	-1000.00	1000.00	  0.00
R00846	C00007[c] + C00093[c]  -> C00027[c] + C00111[c] 	IB49_02535	  0.00	1000.00	  0.00
R00858	3 C00001[c] + 3 C00006[c] + C00283[c]  <=> 3 C00005[c] + 3 C00080[c] + C00094[c] 	IB49_17440 or IB49_17435	-1000.00	  0.00	  0.00
R00878	C00267[c]  <=> C00095[c] 	IB49_01375	-1000.00	1000.00	  0.00
R00880	C00001[c] + 2 C00003[c] + C00096[c]  -> 2 C00004[c] + 3 C00080[c] + C00976[c] 	IB49_14525	  0.00	1000.00	  0.00
R00885	C00044[c] + C00080[c] + C00636[c]  <=> C00013[c] + C00096[c] 	IB49_12180 or IB49_09090	-1000.00	1000.00	  0.00
R00891	C00065[c] + C00283[c]  <=> C00001[c] + C00097[c] 	IB49_17970	-1000.00	1000.00	  0.00
R00896	C00026[c] + C00097[c]  <=> C00302[c] + C00957[c] 	IB49_02630 or IB49_06635	-1000.00	1000.00	  0.00
R00897	C00283[c] + C00979[c]  -> C00033[c] + C00080[c] + C00097[c] 	IB49_10545	  0.00	1000.00	  0.00
R00899	C00001[c] + C01419[c]  <=> C00037[c] + C00097[c] 	IB49_06830	-1000.00	1000.00	  0.00
R00904	C00001[c] + C00003[c] + C05665[c]  -> C00004[c] + 2 C00080[c] + C00099[c] 	IB49_05715	  0.00	1000.00	  0.00
R00905	C00001[c] + C00080[c] + C02642[c]  -> C00011[c] + C00014[c] + C00099[c] 	IB49_08770	  0.00	1000.00	  0.00
R00907	C00041[c] + C00222[c]  <=> C00022[c] + C00099[c] 	IB49_17520	-1000.00	1000.00	  0.00
R00908	C00026[c] + C00099[c]  <=> C00025[c] + C00222[c] 	IB49_11235 or IB49_17520	-1000.00	1000.00	  0.00
R00919	C00006[c] + C00100[c]  <=> C00005[c] + C00080[c] + C00894[c] 	IB49_17530	-1000.00	  0.00	  0.00
R00921	C00009[c] + C00100[c]  <=> C00010[c] + C02876[c] 	IB49_09645 or IB49_15075	-1000.00	1000.00	  0.00
R00922	C00003[c] + C00010[c] + C00349[c]  <=> C00004[c] + C00011[c] + C00100[c] 	IB49_01755	-1000.00	1000.00	  0.00
R00927	C00024[c] + C00100[c]  <=> C00010[c] + C03344[c] 	IB49_01860 or IB49_07135 or IB49_05740	-1000.00	1000.00	  0.00
R00931	C00010[c] + C00080[c] + C02225[c]  <=> C00001[c] + C00036[c] + C00100[c] 	IB49_05565	-1000.00	  0.00	  0.00
R00935	C00003[c] + C00010[c] + C06002[c]  <=> C00004[c] + C00011[c] + C00100[c] 	IB49_01755	-1000.00	1000.00	  0.00
R00939	C00006[c] + C00101[c]  <=> C00005[c] + C00080[c] + C00415[c] 	IB49_00910	-1000.00	1000.00	  0.00
R00943	C00002[c] + C00058[c] + C00101[c]  -> C00008[c] + C00009[c] + C00234[c] 	IB49_03775	  0.00	1000.00	  0.00
R00945	C00001[c] + C00037[c] + C00143[c]  <=> C00065[c] + C00101[c] 	IB49_09390	-1000.00	1000.00	  0.00
R00946	C00155[c] + C00440[c]  <=> C00073[c] + C00101[c] 	IB49_13855	-1000.00	1000.00	  0.00
R00948	C00002[c] + C00080[c] + C00103[c]  <=> C00013[c] + C00498[c] 	IB49_06310 or IB49_06305	-1000.00	1000.00	  0.00
R00962	C00081[c] + C00475[c]  -> C00055[c] + C00080[c] + C00104[c] 	IB49_04610	  0.00	1000.00	  0.00
R00963	C00001[c] + C00105[c]  <=> C00009[c] + C00299[c] 	IB49_08200	-1000.00	1000.00	  0.00
R00964	C00002[c] + C00299[c]  -> C00008[c] + C00080[c] + C00105[c] 	IB49_04610	  0.00	1000.00	  0.00
R00965	C00080[c] + C01103[c]  <=> C00011[c] + C00105[c] 	IB49_16020	-1000.00	1000.00	  0.00
R00966	C00013[c] + C00105[c]  <=> C00106[c] + C00119[c] 	IB49_09385 or IB49_15980	-1000.00	  0.00	  0.00
R00967	C00075[c] + C00299[c]  -> C00015[c] + C00080[c] + C00105[c] 	IB49_04610	  0.00	1000.00	  0.00
R00968	C00044[c] + C00299[c]  -> C00035[c] + C00080[c] + C00105[c] 	IB49_04610	  0.00	1000.00	  0.00
R00970	C00081[c] + C00299[c]  -> C00080[c] + C00104[c] + C00105[c] 	IB49_04610	  0.00	1000.00	  0.00
R00982	C00002[c] + C00010[c] + C00108[c]  <=> C00013[c] + C00020[c] + C02247[c] 	IB49_05765	-1000.00	1000.00	  0.00
R00985	C00014[c] + C00251[c]  -> C00001[c] + C00022[c] + C00108[c] 	IB49_02790 or IB49_10550 or IB49_10555	  0.00	1000.00	  0.00
R00986	C00064[c] + C00251[c]  -> C00022[c] + C00025[c] + C00080[c] + C00108[c] 	IB49_02790 or IB49_10550 or IB49_10555	  0.00	1000.00	  0.00
R00994	C00004[c] + C00011[c] + C00109[c]  <=> C00003[c] + C06032[c] 	IB49_05165	-1000.00	1000.00	  0.00
R00996	C00188[c]  -> C00014[c] + C00080[c] + C00109[c] 	IB49_00900	  0.00	1000.00	  0.00
R00999	C00001[c] + C01118[c]  -> C00014[c] + C00042[c] + 2 C00080[c] + C00109[c] 	IB49_04570 or IB49_14655	  0.00	1000.00	  0.00
R01000	C00003[c] + C05984[c]  <=> C00004[c] + C00080[c] + C00109[c] 	IB49_12995	-1000.00	1000.00	  0.00
R01001	C00001[c] + C02291[c]  -> C00014[c] + C00080[c] + C00097[c] + C00109[c] 	IB49_04570	  0.00	1000.00	  0.00
R01015	C00118[c]  <=> C00111[c] 	IB49_07360	-1000.00	1000.00	  0.00
R01016	C00111[c]  -> C00009[c] + C00546[c] 	IB49_02685	  0.00	1000.00	  0.00
